,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
420,2903.5,3113.5,2845,2929.5,3160.5,2845,3256.5,2902,2871,3165.5,2903.5,3168.5,3282,3390.5,3383,3540.5,3898.5,3214.5
421,2781.5,2925.5,2692.5,2763,3011.5,2802,3047,2898.5,2701,2899.5,2781.5,3006,3201,3142,3219,3504.5,3699,3156.5
422,2546.5,2853,2574.5,2647,3003.5,2704,2979,2907.5,2631,2889,2546.5,3027,3070,3114.5,3142,3326.5,3703,2973.5
423,2599.5,2835,2666,2743.5,2918,2488,2896,2646.5,2557.5,2807,2599.5,2801,2932,3073,2991.5,3302.5,3572,2902
424,2522,2649,2469.5,2542.5,2755.5,2399.5,2800.5,2528,2457.5,2734,2522,2743.5,2852,2886.5,2895.5,3228,3416.5,2825.5
425,2374.5,2522.5,2430.5,2458.5,2650.5,2455,2749.5,2549,2289,2632,2374.5,2620.5,2806.5,2772.5,2859,3158,3424,2766.5
426,2254.5,2488,2289,2418.5,2437.5,2302.5,2666,2412.5,2292.5,2509.5,2254.5,2521.5,2608,2662,2639,2858,3193.5,2625
427,2350.5,2420.5,2216.5,2196.5,2488.5,2294,2501.5,2346.5,2244.5,2353,2350.5,2472.5,2458.5,2617,2614,2819,3028.5,2571
428,2260.5,2308,2174.5,2125.5,2454,2103.5,2425,2242,2116,2391.5,2260.5,2335.5,2539,2506.5,2519.5,2722.5,2982,2406.5
429,2138,2253.5,2038,2009.5,2329.5,1986.5,2420,2196,2102,2299,2138,2315,2343.5,2469.5,2353,2683.5,2879,2366.5
430,2103,2139.5,2060.5,1984,2367.5,1938.5,2194,2060,1950,2108,2103,2207.5,2348.5,2383.5,2351.5,2598,2743.5,2346.5
431,1960,2057.5,1847.5,1983.5,2158.5,1867.5,2211,2037.5,1864,2203,1960,2204.5,2142,2306.5,2302,2434,2733,2164.5
432,1865.5,1918.5,1983,1990.5,2139,1898.5,2091.5,1952,1790.5,2079,1865.5,2056,2126,2232.5,2247.5,2488.5,2666,2121.5
433,1724,1941.5,1774.5,1721,2060.5,1741,2136.5,1831.5,1847.5,2013.5,1724,1998.5,1975.5,2164,2090,2412,2655.5,2080
434,1738.5,1954.5,1680,1657.5,1950,1679,1938.5,1779,1682.5,1926,1738.5,1968,2063,2073.5,1941.5,2306,2463,1875
435,1629,1776,1744.5,1655.5,1956,1656.5,1919,1807.5,1668.5,1770.5,1629,1801.5,1960,2000,1968,2231,2641,1892
436,1606,1727,1624.5,1635,1942.5,1506,1850,1743,1612,1766.5,1606,1729,1862,1949.5,1921.5,2116.5,2384.5,1842
437,1583.5,1607.5,1575.5,1516.5,1719.5,1578,1813,1581.5,1528,1659,1583.5,1751.5,1761.5,1880,1848,1986,2409.5,1772.5
438,1548.5,1640.5,1570.5,1415.5,1763.5,1429,1808.5,1583,1433.5,1580,1548.5,1615.5,1673,1868,1745,1976.5,2316,1565
439,1580,1600,1508,1375.5,1695.5,1365,1704.5,1545.5,1402,1536.5,1580,1668.5,1658,1803.5,1658,1838.5,2257.5,1600
440,1445,1567.5,1476.5,1342.5,1616,1397,1615.5,1532.5,1382,1472.5,1445,1544,1574.5,1673,1663.5,1897.5,2179,1579
441,1350.5,1536.5,1413,1325.5,1607,1246.5,1580.5,1444,1296.5,1409.5,1350.5,1511,1600.5,1533.5,1525.5,1722.5,2132.5,1487.5
442,1284,1424.5,1328.5,1357.5,1563,1322,1510.5,1380,1269,1387.5,1284,1399.5,1487,1567,1634,1691,2028,1494.5
443,1252,1329,1288.5,1279.5,1437,1145,1471,1337,1247.5,1367,1252,1405.5,1469.5,1490,1480.5,1648,2073.5,1481
444,1259.5,1365.5,1232.5,1291.5,1383.5,1216,1451,1295.5,1219,1286.5,1259.5,1367,1505,1486.5,1393.5,1594.5,1946.5,1363
445,1162,1333.5,1248.5,1107,1365,1088.5,1474,1304.5,1141.5,1279,1162,1299.5,1376,1420.5,1338,1556,1902,1268
446,1106.5,1286,1186,1112,1302.5,1153.5,1344,1262,1174.5,1167.5,1106.5,1238.5,1332.5,1349,1309.5,1516.5,1900,1222.5
447,1099.5,1202.5,1148,1085.5,1274,1056.5,1321.5,1067.5,1009,1119.5,1099.5,1260.5,1312,1211.5,1266,1514.5,1857,1175.5
448,1029.5,1157.5,1101,1002,1289,963,1246.5,1083,1009,1126.5,1029.5,1140.5,1199,1256,1206,1423,1679.5,1152
449,1011,1170.5,1141.5,1100.5,1232,922.5,1235,1057,981,1095.5,1011,1212,1188,1216,1221,1336.5,1676.5,1133
450,1005.5,1089,1015.5,903.5,1078.5,906.5,1100.5,996.5,905.5,997,1005.5,1045,1210,1175.5,1097,1392,1577,1039
