,0 uM,0 uM ,0 uM,0.1 uM,0.1 uM ,0.1 uM ,1 uM,1 uM ,1 uM ,10 uM,10 uM ,10 uM ,100 uM,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
460,653,341.5,653,813.5,797,801.5,1003.5,654.5,981.5,743,813,685.5,728.5,838.5,701.5,751.5,1095.5,1069
461,626,319.5,626,685,783,787,1025.5,556.5,935,755,727,750.5,671.5,778.5,704.5,634.5,1058,998.5
462,659.5,341,659.5,704.5,687.5,782.5,935,540,845.5,682.5,639.5,711.5,705.5,717,603.5,663,983,950
463,549,260,549,586,682.5,684.5,1021.5,546.5,818,603.5,691.5,663,591.5,700,657,611.5,1070.5,903
464,542,278,542,581.5,667,710.5,876.5,463.5,861.5,678.5,620,654.5,527.5,690.5,549.5,575.5,926.5,883
465,593,253.5,593,602.5,617,680.5,849.5,507,820,603,661,613,573,693,561.5,594,944,843.5
466,550,258.5,550,550,621.5,629,891,438,765,510.5,614,644.5,532.5,657.5,460,483.5,812,783.5
467,502,193.5,502,522.5,575,616,849.5,449,719.5,484,542,528,503,620.5,537,482,928.5,777
468,498.5,154.5,498.5,502.5,561.5,576.5,821.5,403,706,503.5,518,561,495.5,593.5,504,432.5,838,848
469,445.5,131.5,445.5,454.5,509.5,533,735.5,380,682,481.5,552.5,538.5,419,547,413,472,796,733.5
470,411,156,411,470,499.5,522.5,751.5,360.5,692,569,518,510,396.5,498,411,521,797,698
471,403.5,194,403.5,477,530.5,517.5,665,356,673,463.5,462.5,509,420.5,547.5,377,460,726,703.5
472,408,162.5,408,405.5,496.5,523.5,700,299,693,489.5,487.5,457,395,481.5,320.5,459,733,691
473,405.5,58,405.5,416,494.5,499.5,707.5,288,654.5,425,447.5,434,385.5,505,392.5,424,730.5,577
474,386,133,386,420,421.5,473.5,615,270,593.5,415,479.5,452.5,403,470.5,327,411,633,600
475,327,35.5,327,312.5,451.5,461,710,277,547.5,388.5,374,470.5,352.5,446.5,354,351.5,599.5,565.5
476,392,120.5,392,351,469,505.5,662,292,574.5,339,299,424,335,484.5,323.5,299,670.5,548
477,355.5,32.5,355.5,323.5,395,387,601,302,533.5,336.5,363,372,318,396.5,251,342.5,628,550.5
